id,start,end,name,url
1,2024-10-15T17:00+02:00,2024-10-29T17:00+02:00,Trójkąt i punkt,./trojkat-i-punkt.pdf
2,2024-10-22T17:00+02:00,2024-11-05T17:00+02:00,Suma cyfr liczby,./Suma-cyfr-liczby.pdf
3,2024-10-29T17:00+02:00,2024-11-12T17:00+02:00,Dwusieczne czworokąta,./dwusieczne-czwarakata.pdf
4,2024-11-05T17:00+02:00,2024-11-19T17:00+02:00,Sumy wieków,./Sumy-wiekow.pdf
5,2024-11-12T17:00+02:00,2024-11-26T17:00+02:00,Dwusieczne i podobieństwo,./Dwusieczne-i-podobienstwo.pdf
6,2024-11-19T17:00+02:00,2024-12-03T17:00+02:00,Suma liczb naturalnych,./Suma-liczb-naturalnych.pdf
7,2024-11-26T17:00+02:00,2024-12-10T17:00+02:00,Łamana,./lamana.pdf
8,2024-12-03T17:00+02:00,2024-12-17T17:00+02:00,Nogi i głowy,./nogi-i-glowy.pdf
9,2024-12-10T17:00+02:00,2025-01-07T17:00+02:00,Konstrukcja,./konstrukcja.pdf
10,2025-01-07T17:00+02:00,2025-02-18T17:00+02:00,Środkowe i pole trójkąta,./srodkowe-i-pole-trojkata.pdf
11,2025-01-14T17:00+02:00,2025-02-18T17:00+02:00,Środkowe i pole czworokąta,./srodkowe-i-pole-czworokata.pdf
12,2025-01-28T17:00+02:00,2025-02-25T17:00+02:00,Dzielenie przez 11,./DzieleniePrzez11.pdf
13,2025-01-28T17:00+02:00,2025-02-25T17:00+02:00,Algorytm NWD,./AlgorytmNWD.pdf
14,2025-02-18T17:00+02:00,2025-03-04T17:00+02:00,Przekątne wielokąta,./przekatne-wielokata.pdf
15,2025-02-25T17:00+02:00,2025-03-11T17:00+02:00,Iloczyn liczb naturalnych,./iloczyn-liczb-naturalnych.pdf
16,2025-03-04T17:00+02:00,2025-03-18T17:00+02:00,Suma kątów wielokąta,./suma-katow-nkata.pdf
17,2025-03-18T17:00+02:00,2025-03-25T17:00+02:00,Pole trapezu i sześciokąta,./zad17.pdf
18,2025-03-25T17:00+02:00,2025-04-15T17:00+02:00,Suma do stu,./zad18.pdf
19,2025-04-08T17:00+02:00,2025-04-22T17:00+02:00,100 Ważeń,./100-wazen.pdf
